Country Sex Age Education Year Month "Value in thousands"
USA F AGE_YTHADULT_Y15-24 Total 2018 M01 889.092
USA F AGE_YTHADULT_Y15-24 BAS 2018 M01 24.306
USA F AGE_YTHADULT_Y15-24 INT 2018 M01 752.745
USA F AGE_YTHADULT_Y15-24 ADV 2018 M01 112.041
USA F AGE_YTHADULT_YGE25 Total 2018 M01 2221.099
USA F AGE_YTHADULT_YGE25 LTB 2018 M01 0
USA F AGE_YTHADULT_YGE25 BAS 2018 M01 114.73
USA F AGE_YTHADULT_YGE25 INT 2018 M01 1280.05
USA F AGE_YTHADULT_YGE25 ADV 2018 M01 822.57
USA T AGE_AGGREGATE_TOTAL Total 2018 M02 7090.88
USA T AGE_AGGREGATE_TOTAL LTB 2018 M02 0
USA T AGE_AGGREGATE_TOTAL BAS 2018 M02 417.542
USA T AGE_AGGREGATE_TOTAL INT 2018 M02 4644.256
USA T AGE_AGGREGATE_TOTAL ADV 2018 M02 2015.79
USA T AGE_AGGREGATE_Y15-24 Total 2018 M02 1905.906
USA T AGE_AGGREGATE_Y15-24 LTB 2018 M02 0
USA T AGE_AGGREGATE_Y15-24 BAS 2018 M02 90.453
USA T AGE_AGGREGATE_Y15-24 INT 2018 M02 1589.8
USA T AGE_AGGREGATE_Y15-24 ADV 2018 M02 222.877
USA T AGE_AGGREGATE_Y25-54 Total 2018 M02 3891.399
USA T AGE_AGGREGATE_Y25-54 LTB 2018 M02 0
USA T AGE_AGGREGATE_Y25-54 BAS 2018 M02 214.544
USA T AGE_AGGREGATE_Y25-54 INT 2018 M02 2388.783
USA T AGE_AGGREGATE_Y25-54 ADV 2018 M02 1281.544
USA T AGE_AGGREGATE_Y55-64 Total 2018 M02 945.436
USA T AGE_AGGREGATE_Y55-64 LTB 2018 M02 0
USA T AGE_AGGREGATE_Y55-64 BAS 2018 M02 89.94
USA T AGE_AGGREGATE_Y55-64 INT 2018 M02 479.944
USA T AGE_AGGREGATE_Y55-64 ADV 2018 M02 371.563
USA T AGE_AGGREGATE_YGE65 Total 2018 M02 348.139
USA T AGE_AGGREGATE_YGE65 BAS 2018 M02 22.604
USA T AGE_AGGREGATE_YGE65 INT 2018 M02 185.729
USA T AGE_AGGREGATE_YGE65 ADV 2018 M02 139.806
USA M AGE_AGGREGATE_TOTAL Total 2018 M02 3977.341
USA M AGE_AGGREGATE_TOTAL LTB 2018 M02 0
USA M AGE_AGGREGATE_TOTAL BAS 2018 M02 269.717
USA M AGE_AGGREGATE_TOTAL INT 2018 M02 2730.385
USA M AGE_AGGREGATE_TOTAL ADV 2018 M02 973.433
USA M AGE_AGGREGATE_Y15-24 Total 2018 M02 1126.922
USA M AGE_AGGREGATE_Y15-24 LTB 2018 M02 0
USA M AGE_AGGREGATE_Y15-24 BAS 2018 M02 59.667
USA M AGE_AGGREGATE_Y15-24 INT 2018 M02 956.348
USA M AGE_AGGREGATE_Y15-24 ADV 2018 M02 110.907
USA M AGE_AGGREGATE_Y25-54 Total 2018 M02 2065.667
USA M AGE_AGGREGATE_Y25-54 LTB 2018 M02 0
USA M AGE_AGGREGATE_Y25-54 BAS 2018 M02 127.09
USA M AGE_AGGREGATE_Y25-54 INT 2018 M02 1363.761
USA M AGE_AGGREGATE_Y25-54 ADV 2018 M02 571.01
USA M AGE_AGGREGATE_Y55-64 Total 2018 M02 601.042
USA M AGE_AGGREGATE_Y55-64 LTB 2018 M02 0
USA M AGE_AGGREGATE_Y55-64 BAS 2018 M02 64.485
USA M AGE_AGGREGATE_Y55-64 INT 2018 M02 311.432
USA M AGE_AGGREGATE_Y55-64 ADV 2018 M02 225.124
USA M AGE_AGGREGATE_YGE65 Total 2018 M02 183.71
USA M AGE_AGGREGATE_YGE65 BAS 2018 M02 18.474
USA M AGE_AGGREGATE_YGE65 INT 2018 M02 98.844
USA M AGE_AGGREGATE_YGE65 ADV 2018 M02 66.392
USA F AGE_AGGREGATE_TOTAL Total 2018 M02 3113.539
USA F AGE_AGGREGATE_TOTAL LTB 2018 M02 0
USA F AGE_AGGREGATE_TOTAL BAS 2018 M02 147.825
USA F AGE_AGGREGATE_TOTAL INT 2018 M02 1913.871
USA F AGE_AGGREGATE_TOTAL ADV 2018 M02 1042.358
USA F AGE_AGGREGATE_Y15-24 Total 2018 M02 778.983
USA F AGE_AGGREGATE_Y15-24 LTB 2018 M02 0
USA F AGE_AGGREGATE_Y15-24 BAS 2018 M02 30.786
USA F AGE_AGGREGATE_Y15-24 INT 2018 M02 633.452
USA F AGE_AGGREGATE_Y15-24 ADV 2018 M02 111.97
USA F AGE_AGGREGATE_Y25-54 Total 2018 M02 1825.731
USA F AGE_AGGREGATE_Y25-54 LTB 2018 M02 0
USA F AGE_AGGREGATE_Y25-54 BAS 2018 M02 87.454
USA F AGE_AGGREGATE_Y25-54 INT 2018 M02 1025.022
USA F AGE_AGGREGATE_Y25-54 ADV 2018 M02 710.534
USA F AGE_AGGREGATE_Y55-64 Total 2018 M02 344.395
USA F AGE_AGGREGATE_Y55-64 LTB 2018 M02 0
USA F AGE_AGGREGATE_Y55-64 BAS 2018 M02 25.454
USA F AGE_AGGREGATE_Y55-64 INT 2018 M02 168.512
USA F AGE_AGGREGATE_Y55-64 ADV 2018 M02 146.439
USA F AGE_AGGREGATE_YGE65 Total 2018 M02 164.429
USA F AGE_AGGREGATE_YGE65 BAS 2018 M02 0
USA F AGE_AGGREGATE_YGE65 INT 2018 M02 86.885
USA F AGE_AGGREGATE_YGE65 ADV 2018 M02 73.414
USA T AGE_YTHADULT_YGE15 Total 2018 M02 7090.88
USA T AGE_YTHADULT_YGE15 LTB 2018 M02 0
USA T AGE_YTHADULT_YGE15 BAS 2018 M02 417.542
USA T AGE_YTHADULT_YGE15 INT 2018 M02 4644.256
USA T AGE_YTHADULT_YGE15 ADV 2018 M02 2015.79
USA T AGE_YTHADULT_Y15-64 Total 2018 M02 6742.741
USA T AGE_YTHADULT_Y15-64 LTB 2018 M02 13.292
USA T AGE_YTHADULT_Y15-64 BAS 2018 M02 394.937
USA T AGE_YTHADULT_Y15-64 INT 2018 M02 4458.527
USA T AGE_YTHADULT_Y15-64 ADV 2018 M02 1875.984
USA T AGE_YTHADULT_Y15-24 Total 2018 M02 1905.906
USA T AGE_YTHADULT_Y15-24 LTB 2018 M02 0
USA T AGE_YTHADULT_Y15-24 BAS 2018 M02 90.453
USA T AGE_YTHADULT_Y15-24 INT 2018 M02 1589.8
USA T AGE_YTHADULT_Y15-24 ADV 2018 M02 222.877
USA T AGE_YTHADULT_YGE25 Total 2018 M02 5184.974
USA T AGE_YTHADULT_YGE25 LTB 2018 M02 0
USA T AGE_YTHADULT_YGE25 BAS 2018 M02 327.088
USA T AGE_YTHADULT_YGE25 INT 2018 M02 3054.457
USA T AGE_YTHADULT_YGE25 ADV 2018 M02 1792.913
USA M AGE_YTHADULT_YGE15 Total 2018 M02 3977.341
USA M AGE_YTHADULT_YGE15 LTB 2018 M02 0
USA M AGE_YTHADULT_YGE15 BAS 2018 M02 269.717
USA M AGE_YTHADULT_YGE15 INT 2018 M02 2730.385
USA M AGE_YTHADULT_YGE15 ADV 2018 M02 973.433
USA M AGE_YTHADULT_Y15-64 Total 2018 M02 3793.631
USA M AGE_YTHADULT_Y15-64 LTB 2018 M02 3.807
USA M AGE_YTHADULT_Y15-64 BAS 2018 M02 251.243
USA M AGE_YTHADULT_Y15-64 INT 2018 M02 2631.541
USA M AGE_YTHADULT_Y15-64 ADV 2018 M02 907.041
USA M AGE_YTHADULT_Y15-24 Total 2018 M02 1126.922
USA M AGE_YTHADULT_Y15-24 LTB 2018 M02 0
USA M AGE_YTHADULT_Y15-24 BAS 2018 M02 59.667
USA M AGE_YTHADULT_Y15-24 INT 2018 M02 956.348
USA M AGE_YTHADULT_Y15-24 ADV 2018 M02 110.907
USA M AGE_YTHADULT_YGE25 Total 2018 M02 2850.419
USA M AGE_YTHADULT_YGE25 LTB 2018 M02 0
USA M AGE_YTHADULT_YGE25 BAS 2018 M02 210.049
USA M AGE_YTHADULT_YGE25 INT 2018 M02 1774.037
USA M AGE_YTHADULT_YGE25 ADV 2018 M02 862.526
USA F AGE_YTHADULT_YGE15 Total 2018 M02 3113.539
USA F AGE_YTHADULT_YGE15 LTB 2018 M02 0
USA F AGE_YTHADULT_YGE15 BAS 2018 M02 147.825
USA F AGE_YTHADULT_YGE15 INT 2018 M02 1913.871
USA F AGE_YTHADULT_YGE15 ADV 2018 M02 1042.358
USA F AGE_YTHADULT_Y15-64 Total 2018 M02 2949.11
USA F AGE_YTHADULT_Y15-64 LTB 2018 M02 9.485
USA F AGE_YTHADULT_Y15-64 BAS 2018 M02 143.695
USA F AGE_YTHADULT_Y15-64 INT 2018 M02 1826.986
USA F AGE_YTHADULT_Y15-64 ADV 2018 M02 968.944
USA F AGE_YTHADULT_Y15-24 Total 2018 M02 778.983
USA F AGE_YTHADULT_Y15-24 LTB 2018 M02 0
USA F AGE_YTHADULT_Y15-24 BAS 2018 M02 30.786
USA F AGE_YTHADULT_Y15-24 INT 2018 M02 633.452
USA F AGE_YTHADULT_Y15-24 ADV 2018 M02 111.97
USA F AGE_YTHADULT_YGE25 Total 2018 M02 2334.555
USA F AGE_YTHADULT_YGE25 LTB 2018 M02 0
USA F AGE_YTHADULT_YGE25 BAS 2018 M02 117.039
USA F AGE_YTHADULT_YGE25 INT 2018 M02 1280.419
USA F AGE_YTHADULT_YGE25 ADV 2018 M02 930.387
USA T AGE_AGGREGATE_TOTAL Total 2018 M03 6671.167
USA T AGE_AGGREGATE_TOTAL LTB 2018 M03 0
USA T AGE_AGGREGATE_TOTAL BAS 2018 M03 416.6
USA T AGE_AGGREGATE_TOTAL INT 2018 M03 4379.203
USA T AGE_AGGREGATE_TOTAL ADV 2018 M03 1874.88
USA T AGE_AGGREGATE_Y15-24 Total 2018 M03 1705.13
USA T AGE_AGGREGATE_Y15-24 LTB 2018 M03 0
USA T AGE_AGGREGATE_Y15-24 BAS 2018 M03 109.932
USA T AGE_AGGREGATE_Y15-24 INT 2018 M03 1413.324
USA T AGE_AGGREGATE_Y15-24 ADV 2018 M03 181.39
USA T AGE_AGGREGATE_Y25-54 Total 2018 M03 3724.754
USA T AGE_AGGREGATE_Y25-54 BAS 2018 M03 217.295
USA T AGE_AGGREGATE_Y25-54 INT 2018 M03 2289.811
USA T AGE_AGGREGATE_Y25-54 ADV 2018 M03 1217.648
USA T AGE_AGGREGATE_Y55-64 Total 2018 M03 904.002
USA T AGE_AGGREGATE_Y55-64 BAS 2018 M03 63.665
USA T AGE_AGGREGATE_Y55-64 INT 2018 M03 506.498
USA T AGE_AGGREGATE_Y55-64 ADV 2018 M03 333.838
USA T AGE_AGGREGATE_YGE65 Total 2018 M03 337.281
USA T AGE_AGGREGATE_YGE65 BAS 2018 M03 25.708
USA T AGE_AGGREGATE_YGE65 INT 2018 M03 169.57
USA T AGE_AGGREGATE_YGE65 ADV 2018 M03 142.003
USA M AGE_AGGREGATE_TOTAL Total 2018 M03 3773.172
USA M AGE_AGGREGATE_TOTAL LTB 2018 M03 0
USA M AGE_AGGREGATE_TOTAL BAS 2018 M03 252.466
USA M AGE_AGGREGATE_TOTAL INT 2018 M03 2578.801
USA M AGE_AGGREGATE_TOTAL ADV 2018 M03 941.421
