Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,4044.319606
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,5519.617722
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,4057.594887
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,4632.785325
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,4317.779436
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,7790.434477
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,2751.474658
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,3355.565802
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,2760.380365
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,1168.971172
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,2518.04948
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,1912.666283
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,3052.083859
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,3729.294575
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,1196.981077
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,1218.285593
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,3690.226467
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,3212.393242
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,3022.626851
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,1383.841199
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,3703.022715
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,1617.20375
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,2684.665401
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,3417.468391
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,3163.977063
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,2748.898583
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,1780.379171
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,1801.408012
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,2790
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,3040.93374
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,3000
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,1027.446667
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,3356.555158
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,3326.322042
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,922.159407
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,3100
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,3255.304171
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,1035.042964
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,3288.973595
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,2868.775299
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,1154.422727
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,2976.200995
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,931.70321
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,2735.031245
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,2755.649857
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,1948.7948
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,1814.336268
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,735.139375
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,2007.444623
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,1899.781515
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,2459.84493
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,2155.691037
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,2197.144784
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,2060.141677
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,2018.222198
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,2471.845456
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,1623.709563
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,2269.314723
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,1722.195535
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,2817.110032
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,1871.841065
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,2151.953072
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,1631.11853
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,1600.849566
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,2570
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,1699.672724
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,1837.384995
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,1764.705882
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,2859.933132
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,1960.784314
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,1647.585173
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,2300.344074
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,1599.858177
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,2481.307278
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,2169.965034
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,3756.149235
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,3423.6792
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,4571.382867
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,269.043966
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,225.130073
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,263.111797
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,251.669213
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,279.413843
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,148.852618
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,539.336707
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,351.860707
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,515.29323
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,449.352278
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,426.725006
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,373.453092
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,259.431311
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,302.973893
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,401.247166
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,956.594513
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,601.306442
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,481.953011
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,412.194495
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,342.083393
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,462.542942
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,277.480031
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,476.278297
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,410
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,300
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,570.487992
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,242.583813
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,228.920811
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,427.676844
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,400
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,452.940867
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,429.846802
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,377.902822
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,659.43961
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,809.362199
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,779.918202
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,268.282188
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,328.095105
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,421.04256
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,296.924905
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,204.035294
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,251.347605
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,295.892824
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,434.180295
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,288.762234
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,213.649744
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,256.964869
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,478.657501
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,274.952377
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,396.288801
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,246.495611
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,316.122205
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,304.321303
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,376.445846
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,283.429959
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,268.194593
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,316.610487
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,335.582257
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,280
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,232.555188
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,240.712556
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,300
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,349.844155
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,401.67194
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,300
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,373.494448
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,237.842032
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,342.054742
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,280.058011
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,612.125811
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,363.157903
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,493.203005
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,388.915142
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,450.989122
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,567.647916
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,923.745287
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,490.48518
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,321.80663
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,579.025779
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,911.947495
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,1019.988389
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,811.417004
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,551.236093
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,562.963178
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,455.578186
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,517.782974
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,770.466641
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,432.766819
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,502.666308
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,633.879557
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,512.328452
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,527.740114
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,484.077139
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,395.781271
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,460
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,536.092809
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,751.581542
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,600
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,499.524232
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,491.470515
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,500
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,587.26393
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,552.160219
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,500.879271
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,434.2577
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,515.630348
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,640.7814
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,1212.876014
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,2545.365588
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,4034.610029
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,4465.106096
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,2812.239639
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,2877.941284
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,3200.666123
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,4078.288117
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,5745.464703
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,4651.476482
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,4430.858967
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,5406.788731
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,4180.061624
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,4005.979562
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,4564.413073
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,3765.631102
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,4915.83763
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,4630.330072
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,3862.370363
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,3929.314252
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,6478.992562
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,5315.773525
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,4640
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,5111.99556
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,3762.197888
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,3560.756421
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,4337.968537
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,3918.556169
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,4245.409208
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,4922.122078
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,3700.221164
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,3806.084943
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,4454.338857
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,4143.399354
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,6561.96033
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,7635.551891
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,5259.783235
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,6099.101548
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,6444.132093
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,7464.16957
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,5654.961421
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,5368.366742
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,7458.486766
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,6109.78692
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,6885.781936
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,6166.951636
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,5848.384819
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,5613.741611
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,5576.47138
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,5084.768473
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,5592.320845
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,5831.623377
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,5345.204355
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,5216.008316
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,5254.796098
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,6103.799022
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,5770.567145
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,6304.735441
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,5614.797515
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,5395.472976
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,5870
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,5909.837536
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,5341.312519
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,6574.981798
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,5718.524967
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,5608.855325
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,5520.695075
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,5958.737665
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,6588.765646
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,5559.34037
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,7219.85025
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,8816.664417
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,7809.826372
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,111.18175
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,98.613332
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,56.758043
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,78.154931
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,60.844562
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,63.21776
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,110.720563
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,98.835175
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,124.86712
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,139.216183
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,113.670591
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,99.05857
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,83.282101
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,100.40133
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,63.974969
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,109.887555
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,99.028696
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,99.232859
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,148.228136
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,85.745497
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,91.123929
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,70
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,99.826997
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,67.424215
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,148.31614
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,108.017301
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,125
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,125
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,89.579246
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,95.040409
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,70.287243
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,97.774151
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,77.335409
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,166.26229
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,131.049032
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,205.741432
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,148.728844
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,225.539453
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,162.543211
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,127.271576
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,148.694695
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,135.043868
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,171.377933
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,144.458173
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,261.457264
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,652.885248
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,184.334002
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,164.956627
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,134.447738
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,113.657201
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,97.376048
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,252.068446
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,99.278901
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,131.047497
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,126.322953
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,129.687207
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,131.02327
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,120
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,92.757519
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,106.686445
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,118.3707
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,129.823502
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,100
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,100
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,153.485784
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,162.488065
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,131.025948
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,153.788993
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,118.421321
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,142.27733
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,135.054223
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,333.395235
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2019,24890.82327
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2018,23343.36628
Commercial services exports of selected economies – monthly,China,World,January,Million US dollar,2020,19105.89827
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2020,20138.69644
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2018,17919.04355
Commercial services exports of selected economies – monthly,China,World,February,Million US dollar,2019,18035.65681
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2019,25335.84997
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2018,23178.25884
Commercial services exports of selected economies – monthly,China,World,March,Million US dollar,2020,23869.33905
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2018,21904.34935
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2019,23032.74488
Commercial services exports of selected economies – monthly,China,World,April,Million US dollar,2020,22172.14831
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2020,21565.69297
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2019,22907.77384
Commercial services exports of selected economies – monthly,China,World,May,Million US dollar,2018,21722.64899
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2019,22625.01781
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2018,23048.54885
Commercial services exports of selected economies – monthly,China,World,June,Million US dollar,2020,21406.87283
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2018,21526.0555
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2019,24163.64285
Commercial services exports of selected economies – monthly,China,World,July,Million US dollar,2020,24480.41847
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2020,21788.79093
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2019,23180
Commercial services exports of selected economies – monthly,China,World,August,Million US dollar,2018,20845.64812
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2018,20650.36221
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2019,21957.19501
Commercial services exports of selected economies – monthly,China,World,September,Million US dollar,2020,23728.23007
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2020,21944.34106
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2019,22069.02626
Commercial services exports of selected economies – monthly,China,World,October,Million US dollar,2018,21149.14637
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2019,23132.03882
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2018,22772.31828
Commercial services exports of selected economies – monthly,China,World,November,Million US dollar,2020,22814.92337
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2020,35069.11134
