Date,Open,High,Low,Close*,Adj Close**,Volume
2/22/21,"31,381.12","31,653.48","31,286.57","31,521.69","31,521.69","3,872,100"
2/19/21,"31,504.13","31,647.53","31,469.34","31,494.32","31,494.32","3,530,700"
2/18/21,"31,558.60","31,558.60","31,285.32","31,493.34","31,493.34","3,259,900"
2/17/21,"31,485.61","31,643.70","31,338.76","31,613.02","31,613.02","3,435,100"
2/16/21,"31,472.08","31,608.63","31,443.48","31,522.75","31,522.75","3,292,100"
2/12/21,"31,420.80","31,475.31","31,347.80","31,458.40","31,458.40","2,630,900"
2/11/21,"31,466.49","31,543.82","31,244.36","31,430.70","31,430.70","2,803,200"
2/10/21,"31,428.02","31,511.44","31,221.32","31,437.80","31,437.80","3,264,500"
2/9/21,"31,359.88","31,439.47","31,245.86","31,375.83","31,375.83","3,082,100"
2/8/21,"31,191.20","31,386.10","31,191.20","31,385.76","31,385.76","3,222,500"
2/5/21,"31,093.81","31,252.18","31,083.22","31,148.24","31,148.24","2,935,500"
2/4/21,"30,737.78","31,065.96","30,737.78","31,055.86","31,055.86","3,383,300"
2/3/21,"30,689.65","30,793.41","30,521.31","30,723.60","30,723.60","3,055,900"
2/2/21,"30,276.88","30,840.54","30,276.88","30,687.48","30,687.48","3,331,600"
2/1/21,"30,054.73","30,335.91","30,014.97","30,211.91","30,211.91","3,470,600"
1/29/21,"30,553.91","30,553.91","29,856.30","29,982.62","29,982.62","5,363,200"
1/28/21,"30,377.19","30,951.41","30,377.19","30,603.36","30,603.36","4,651,400"
1/27/21,"30,893.78","30,893.78","30,206.91","30,303.17","30,303.17","5,664,700"
1/26/21,"30,968.55","31,121.42","30,921.71","30,937.04","30,937.04","3,731,500"
1/25/21,"30,989.85","30,989.85","30,564.06","30,960.00","30,960.00","4,728,900"
1/22/21,"31,141.56","31,141.56","30,908.47","30,996.98","30,996.98","4,360,400"
1/21/21,"31,198.01","31,272.22","31,120.92","31,176.01","31,176.01","4,187,800"
1/20/21,"31,017.54","31,235.98","30,997.79","31,188.38","31,188.38","3,849,800"
1/19/21,"30,887.42","31,086.62","30,865.03","30,930.52","30,930.52","3,864,000"
1/15/21,"30,926.77","30,941.98","30,612.67","30,814.26","30,814.26","4,330,000"
1/14/21,"31,085.67","31,223.78","30,982.24","30,991.52","30,991.52","4,278,100"
1/13/21,"31,084.88","31,153.37","30,992.05","31,060.47","31,060.47","4,132,500"
1/12/21,"31,015.01","31,114.56","30,888.76","31,068.69","31,068.69","3,626,200"
1/11/21,"31,015.37","31,096.98","30,832.06","31,008.69","31,008.69","3,565,400"
1/8/21,"31,069.58","31,140.67","30,793.27","31,097.97","31,097.97","3,811,500"
1/7/21,"30,901.18","31,193.40","30,897.86","31,041.13","31,041.13","4,278,100"
1/6/21,"30,362.78","31,022.65","30,313.07","30,829.40","30,829.40","5,004,300"
1/5/21,"30,204.25","30,504.89","30,141.78","30,391.60","30,391.60","3,509,100"
1/4/21,"30,627.47","30,674.28","29,881.82","30,223.89","30,223.89","4,750,800"
12/31/20,"30,417.64","30,637.47","30,344.50","30,606.48","30,606.48","2,844,700"
12/30/20,"30,415.09","30,525.35","30,393.04","30,409.56","30,409.56","2,918,900"
12/29/20,"30,492.07","30,588.79","30,274.24","30,335.67","30,335.67","3,576,100"
12/28/20,"30,283.23","30,525.56","30,283.23","30,403.97","30,403.97","3,024,900"
12/24/20,"30,155.92","30,209.67","30,099.30","30,199.87","30,199.87","1,455,700"
12/23/20,"30,046.73","30,292.53","30,046.73","30,129.83","30,129.83","2,740,500"
12/22/20,"30,200.20","30,200.20","29,992.89","30,015.51","30,015.51","3,888,100"
12/21/20,"30,159.00","30,304.14","29,755.53","30,216.45","30,216.45","4,374,800"
12/18/20,"30,314.26","30,343.59","30,029.44","30,179.05","30,179.05","7,820,700"
12/17/20,"30,216.00","30,323.78","30,216.00","30,303.37","30,303.37","3,455,300"
12/16/20,"30,191.38","30,236.03","30,080.11","30,154.54","30,154.54","3,445,900"
12/15/20,"29,919.09","30,243.26","29,894.95","30,199.31","30,199.31","4,177,700"
12/14/20,"30,123.91","30,325.79","29,849.15","29,861.55","29,861.55","3,719,800"
12/11/20,"29,988.21","30,071.13","29,820.84","30,046.37","30,046.37","3,938,700"
12/10/20,"30,032.55","30,063.87","29,876.82","29,999.26","29,999.26","3,255,500"
12/9/20,"30,229.81","30,319.70","29,951.85","30,068.81","30,068.81","3,805,200"
12/8/20,"29,997.95","30,246.22","29,972.07","30,173.88","30,173.88","3,111,900"
12/7/20,"30,233.03","30,233.03","29,967.22","30,069.79","30,069.79","3,658,100"
12/4/20,"29,989.56","30,218.26","29,989.56","30,218.26","30,218.26","3,565,900"
12/3/20,"29,920.83","30,110.88","29,877.27","29,969.52","29,969.52","4,056,800"
12/2/20,"29,695.09","29,902.51","29,599.29","29,883.79","29,883.79","3,852,800"
12/1/20,"29,797.50","30,083.31","29,797.50","29,823.92","29,823.92","4,295,100"
11/30/20,"29,854.51","29,854.51","29,463.64","29,638.64","29,638.64","5,513,500"
11/27/20,"29,911.33","30,015.13","29,819.98","29,910.37","29,910.37","1,770,400"
11/25/20,"30,058.87","30,058.87","29,806.25","29,872.47","29,872.47","3,230,300"
11/24/20,"29,746.11","30,116.51","29,746.11","30,046.24","30,046.24","4,327,600"
11/23/20,"29,332.82","29,667.75","29,332.82","29,591.27","29,591.27","3,872,000"
11/20/20,"29,437.57","29,469.89","29,231.20","29,263.48","29,263.48","3,053,500"
11/19/20,"29,370.92","29,524.90","29,228.38","29,483.23","29,483.23","3,313,300"
11/18/20,"29,875.40","29,930.85","29,432.84","29,438.42","29,438.42","3,828,500"
11/17/20,"29,800.15","29,872.42","29,520.29","29,783.35","29,783.35","3,723,800"
11/16/20,"29,672.36","29,964.29","29,672.36","29,950.44","29,950.44","4,182,900"
11/13/20,"29,203.90","29,559.25","29,203.90","29,479.81","29,479.81","3,488,100"
11/12/20,"29,231.91","29,311.83","28,902.13","29,080.17","29,080.17","3,693,200"
11/11/20,"29,524.35","29,593.11","29,281.22","29,397.63","29,397.63","3,767,000"
11/10/20,"29,254.17","29,478.86","29,126.99","29,420.92","29,420.92","5,269,800"
11/9/20,"29,467.90","29,933.83","29,130.66","29,157.97","29,157.97","6,733,100"
11/6/20,"28,399.13","28,431.96","28,189.50","28,323.40","28,323.40","3,267,100"
11/5/20,"28,083.37","28,495.05","28,083.37","28,390.18","28,390.18","3,901,400"
11/4/20,"27,512.83","28,301.50","27,512.83","27,847.66","27,847.66","4,478,600"
11/3/20,"27,138.69","27,640.21","27,138.69","27,480.03","27,480.03","3,509,800"
11/2/20,"26,691.28","27,043.48","26,691.28","26,925.05","26,925.05","3,799,900"
10/30/20,"26,572.27","26,639.18","26,143.77","26,501.60","26,501.60","5,048,200"
10/29/20,"26,480.98","26,891.89","26,290.78","26,659.11","26,659.11","4,197,700"
10/28/20,"27,102.14","27,102.14","26,497.39","26,519.95","26,519.95","4,961,500"
10/27/20,"27,651.18","27,707.69","27,457.96","27,463.19","27,463.19","3,664,000"
10/26/20,"28,185.82","28,185.82","27,370.16","27,685.38","27,685.38","4,041,500"
10/23/20,"28,409.65","28,436.52","28,149.82","28,335.57","28,335.57","3,473,000"
10/22/20,"28,197.42","28,421.31","28,040.18","28,363.66","28,363.66","3,303,200"
10/21/20,"28,270.66","28,450.64","28,196.39","28,210.82","28,210.82","2,994,200"
10/20/20,"28,245.85","28,575.03","28,243.04","28,308.79","28,308.79","3,502,200"
10/19/20,"28,633.55","28,711.93","28,139.40","28,195.42","28,195.42","3,587,000"
10/16/20,"28,570.72","28,842.90","28,570.72","28,606.31","28,606.31","3,561,400"
10/15/20,"28,323.40","28,535.85","28,181.54","28,494.20","28,494.20","3,289,400"
10/14/20,"28,731.30","28,792.56","28,461.73","28,514.00","28,514.00","3,708,000"
10/13/20,"28,764.95","28,808.84","28,604.35","28,679.81","28,679.81","5,261,100"
10/12/20,"28,671.12","28,957.90","28,659.67","28,837.52","28,837.52","4,936,800"
10/9/20,"28,533.61","28,676.29","28,440.63","28,586.90","28,586.90","3,240,500"
10/8/20,"28,348.86","28,459.13","28,265.56","28,425.51","28,425.51","3,147,500"
10/7/20,"27,971.36","28,369.66","27,971.36","28,303.46","28,303.46","3,287,500"
10/6/20,"28,214.24","28,354.48","27,728.03","27,772.76","27,772.76","4,350,300"
10/5/20,"27,825.42","28,162.64","27,825.42","28,148.64","28,148.64","3,182,100"
10/2/20,"27,536.39","27,861.43","27,382.94","27,682.81","27,682.81","3,927,700"
10/1/20,"27,940.63","28,041.46","27,669.26","27,816.90","27,816.90","3,734,500"
9/30/20,"27,514.64","28,026.33","27,511.06","27,781.70","27,781.70","4,525,500"
9/29/20,"27,560.24","27,605.60","27,338.09","27,452.66","27,452.66","3,038,200"
