Date,Open,High,Low,Close,Adj Close,Volume
4/14/20,1756.80005,1775,1739.5,1756.69995,1756.69995,675
4/15/20,1739.40002,1744.90002,1722.69995,1727.19995,1727.19995,642
4/16/20,1731,1750.59998,1715,1720.40002,1720.40002,162
4/17/20,1715.69995,1725,1684.90002,1689.19995,1689.19995,223
4/20/20,1686,1701.59998,1680,1701.59998,1701.59998,106
4/21/20,1697,1707.09998,1659.90002,1678.19995,1678.19995,666
4/22/20,1696,1728.69995,1684.80005,1728.69995,1728.69995,453
4/23/20,1734,1745.09998,1733.30005,1733.30005,1733.30005,482
4/24/20,1744,1744,1714.5,1723.5,1723.5,221
4/27/20,1731.90002,1731.90002,1711.90002,1711.90002,1711.90002,169
4/28/20,1716.59998,1716.59998,1707.09998,1710.5,1710.5,1255
4/29/20,1710,1713.5,1702,1703.40002,1703.40002,373
4/30/20,1719.30005,1719.30005,1680.80005,1684.19995,1684.19995,327
5/1/20,1686.59998,1701.5,1670.5,1694.5,1694.5,337
5/4/20,1702.59998,1709,1699.59998,1706.90002,1706.90002,320
5/5/20,1701.5,1704.40002,1697.19995,1704.40002,1704.40002,82
5/6/20,1704,1704,1684.19995,1684.19995,1684.19995,469
5/7/20,1686.19995,1721.80005,1685.59998,1721.80005,1721.80005,853
5/8/20,1726.19995,1728.90002,1703.80005,1709.90002,1709.90002,330
5/11/20,1702.30005,1704.5,1690.19995,1695.30005,1695.30005,749
5/12/20,1699.30005,1713.09998,1699.30005,1704.40002,1704.40002,324
5/13/20,1702,1721.30005,1701.90002,1713.90002,1713.90002,431
5/14/20,1724.30005,1743.09998,1720.5,1738.09998,1738.09998,672
5/15/20,1739.69995,1753.40002,1739.69995,1753.40002,1753.40002,719
5/18/20,1755.69995,1770.5,1731.80005,1731.80005,1731.80005,229
5/19/20,1744.19995,1749.5,1744.19995,1744.19995,1744.19995,167
5/20/20,1751.59998,1752.09998,1745.59998,1750.59998,1750.59998,16
5/21/20,1746.80005,1746.80005,1720.5,1720.5,1720.5,528
5/22/20,1726.59998,1734.59998,1726.59998,1734.59998,1734.59998,6
5/26/20,1726.40002,1726.40002,1704.80005,1704.80005,1704.80005,39
5/27/20,1685.59998,1710.30005,1685.59998,1710.30005,1710.30005,137416
5/28/20,1709.30005,1727.80005,1705,1713.30005,1713.30005,23355
5/29/20,1718.80005,1738.30005,1715.09998,1736.90002,1736.90002,1526
6/1/20,1740.40002,1747,1727.09998,1737.80005,1737.80005,871
6/2/20,1743,1745.5,1721.80005,1725.19995,1725.19995,741
6/3/20,1726.30005,1726.30005,1684.5,1697.80005,1697.80005,2755
6/4/20,1694.5,1718.90002,1694.5,1718.90002,1718.90002,807
6/5/20,1711.80005,1711.80005,1668.59998,1676.19995,1676.19995,1502
6/8/20,1679.09998,1699.40002,1675.90002,1698.30005,1698.30005,587
6/9/20,1694.59998,1720.90002,1692,1714.69995,1714.69995,690
6/10/20,1716.09998,1740.80005,1711.90002,1713.30005,1713.30005,718
6/11/20,1737.19995,1744.09998,1720,1732,1732,347
6/12/20,1724.90002,1743,1724.90002,1729.30005,1729.30005,318
6/15/20,1730,1730,1703.30005,1720.30005,1720.30005,188
6/16/20,1726.30005,1729.59998,1722.40002,1729.59998,1729.59998,22
6/17/20,1714.69995,1729.19995,1714.69995,1729.19995,1729.19995,51
